ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
67.9353657,18.1420972,0.0200,0.0208,-0.0065,9.360,0.014,75.3,1.210E+01,6.930,0.010,104.3,7.758E+00,1,0,0000,AA,10,56904.68103917,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.601638,87.530754
67.9353660,18.1420821,0.0276,0.0234,0.0031,9.383,0.016,69.3,1.311E+01,7.030,0.013,82.7,6.155E+00,1,0,0000,AA,10,57997.34082291,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.602775,92.704301
67.9353629,18.1420566,0.0281,0.0252,-0.0051,9.393,0.015,70.7,1.111E+01,6.981,0.014,77.1,7.870E+00,1,0,0000,AA,10,58728.53848434,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.603598,101.490541
67.9353662,18.1420775,0.0265,0.0225,0.0055,9.374,0.016,69.0,1.051E+01,6.973,0.012,90.3,5.768E+00,1,0,0000,AA,10,57265.44225884,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.604466,94.269374
67.9353671,18.1420928,0.0247,0.0260,0.0035,9.415,0.017,65.3,5.659E+00,7.038,0.013,82.7,4.640E+00,1,0,0000,AA,5,59093.22782598,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.605949,89.046810
67.9353599,18.1420424,0.0283,0.0244,-0.0124,9.381,0.014,75.1,1.308E+01,6.951,0.013,84.7,4.826E+00,1,0,0000,AA,10,58360.91574256,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.605964,106.426605
67.9353655,18.1420649,0.0239,0.0248,-0.0051,9.420,0.016,70.0,1.337E+01,6.978,0.012,93.6,4.851E+00,1,0,0000,AA,10,58364.77700628,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.607156,98.558854
67.9353473,18.1420118,0.0249,0.0200,-0.0069,9.382,0.014,78.6,8.468E+00,6.938,0.013,82.2,3.158E+00,1,0,0000,AA,10,56712.88580840,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.607319,117.616117
67.9353665,18.1421082,0.0285,0.0227,-0.0114,9.383,0.015,74.3,1.004E+01,6.947,0.012,88.1,3.769E+00,1,0,0000,AA,10,56904.02334066,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.607358,83.807009
67.9353661,18.1420617,0.0251,0.0206,0.0087,9.385,0.015,73.7,2.216E+01,6.935,0.011,99.0,1.648E+01,1,0,0000,AA,5,57265.90144053,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.610994,99.598512
67.9353681,18.1420734,0.0247,0.0220,-0.0064,9.417,0.016,66.7,1.010E+01,7.012,0.011,98.9,6.134E+00,1,0,0000,AA,10,57997.73366000,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.612207,95.601739
67.9353446,18.1420026,0.0232,0.0211,-0.0076,9.286,0.014,78.0,8.383E+00,6.919,0.013,86.3,7.011E+00,1,0,0000,AA,10,57072.32868150,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.615408,120.748562
67.9353676,18.1420619,0.0265,0.0218,-0.0041,9.373,0.014,75.1,1.288E+01,6.982,0.012,94.0,5.395E+00,1,0,0000,AA,10,57633.10113564,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.615938,99.452879
67.9353359,18.1419888,0.0258,0.0207,0.0036,9.408,0.015,73.6,8.064E+00,6.963,0.011,95.3,5.030E+00,1,0,0000,AA,10,57431.71080282,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.617944,126.126113
67.9353627,18.1420365,0.0274,0.0252,-0.0017,9.346,0.019,58.0,8.426E+00,6.942,0.012,89.1,3.193E+00,1,0,0000,AA,10,58155.52782580,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.621412,108.055509
67.9353540,18.1420150,0.0249,0.0225,-0.0068,9.358,0.016,66.0,8.506E+00,6.934,0.013,84.7,5.433E+00,1,0,0000,AA,10,56713.34689882,681118101351028843,9.369,0.023,6.959,0.021,4.243,0.015,0.150,0.024,930454588,16.607,0.1573,13.634,0.0558,11.406,0.0373,0.622634,115.698731
