ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
67.8921175,18.1345829,0.0255,0.0232,-0.0107,7.795,0.012,90.9,18.45,5.052,0.019,57.5,11.85,1,0,0,AA,10,57072.26297503,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.557006,133.804938
67.8921222,18.1345104,0.0248,0.0229,-0.0115,7.724,0.014,76.9,15.3,4.889,0.021,52.4,10.31,1,0,0,AA,10,57072.3286815,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.76995,147.113111
67.8919824,18.1347785,0.0266,0.023,0.0055,7.832,0.016,66.3,35.99,5.589,0.013,82.5,134.2,1,0,0,AA,10,57072.45996707,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.324245,349.297808
67.8921761,18.1344265,0.0234,0.0212,-0.0073,7.693,0.014,79.1,51.1,4.891,0.016,70,28.79,1,0,0,AA,10,57072.46009444,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,1.123747,147.579732
67.8921773,18.1346459,0.0238,0.0235,0.0089,7.735,0.015,71.8,65.58,4.988,0.014,76.7,60.59,1,0,0,AA,10,57072.59150733,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.627004,104.667092
67.8920411,18.1345542,0.023,0.0203,-0.0059,7.819,0.011,97,24.5,4.946,0.019,56.8,14.85,1,0,0,AA,10,57072.72279291,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.508704,163.953826
67.8922691,18.134484,0.0298,0.0246,-0.005,7.714,0.016,67.6,29.78,4.817,0.025,42.8,16.21,1,0,0,AA,10,57079.29076557,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,1.18218,128.852333
67.8922422,18.1347986,0.029,0.0226,0.0075,7.722,0.013,84.2,103.3,4.783,0.019,56.2,17.99,1,0,0,AA,10,57265.44225884,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.916212,64.740771
67.8920223,18.1347041,0.0238,0.0217,-0.0087,7.74,0.012,92.2,61.16,4.791,0.019,56.8,55.3,1,0,0,AA,10,57265.57341721,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.091642,56.362746
67.8921303,18.1346756,0.0209,0.0197,0.0051,7.677,0.014,76.1,43.34,4.589,0.012,89.3,108,1,0,0,AA,10,57265.70457562,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.448786,96.633149
67.8921595,18.1347415,0.0232,0.0208,-0.0055,7.787,0.014,78.9,13.18,4.985,0.018,60.7,13.37,1,0,0,AA,10,57265.7701548,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.576312,71.234226
67.892262,18.1346695,0.0219,0.0216,-0.006,7.536,0.014,75.8,112.6,4.916,0.012,90.6,96.5,1,0,0,AA,10,57265.83573398,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.89938,94.706734
67.8920903,18.1347825,0.0271,0.022,0.0064,7.565,0.013,82.8,87.47,4.915,0.016,66,50.23,1,0,0,AA,5,57265.90144053,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.454236,42.852831
67.8920784,18.1346581,0.0279,0.0271,-0.0136,7.662,0.018,60.6,27,4.978,0.012,91.4,82.1,1,0,0,AA,10,57265.96701971,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.291764,113.178432
67.8920693,18.1346959,0.02,0.0193,-0.0028,7.706,0.014,77.9,31.21,4.711,0.014,78.3,60.61,1,0,0,AA,10,57266.0325989,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.238039,84.880693
67.8921461,18.1346649,0.0221,0.0189,-0.0027,7.7,0.016,66.9,8.531,4.771,0.011,100,96.71,1,0,0,AA,10,57266.16375726,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.507933,100.247229
67.8921717,18.1347144,0.0244,0.023,-0.0119,7.668,0.015,70.3,48.13,4.815,0.012,91.4,89.94,1,0,0,AA,10,57266.29491562,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.59395,81.4952
67.8920888,18.1347199,0.0295,0.0296,-0.0109,7.732,0.015,73.6,44.33,5.033,0.017,62.8,33.26,1,0,0,AA,10,57266.42620135,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.322302,70.490176
67.8922115,18.1347001,0.0206,0.0175,0.0069,7.728,0.013,81.1,67.5,4.753,0.012,90.4,87.26,1,0,0,AA,10,57270.55870016,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.724493,87.123263
67.8921546,18.1345327,0.0268,0.0244,0.012,7.815,0.02,53,23.14,4.941,0.013,84.7,86.73,1,0,0,AA,10,57430.8586539,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.774873,136.954018
67.8920431,18.1344613,0.0228,0.0185,-0.0072,7.691,0.015,73.6,38.39,4.961,0.012,89.4,52.58,1,0,0,AA,10,57430.98968521,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.836422,169.846225
67.8921396,18.1345464,0.019,0.0172,-0.0028,7.729,0.014,77.8,19.55,5.061,0.009,117.4,64,1,0,0,AA,10,57431.1208438,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.703811,137.266486
67.8922148,18.1345792,0.0274,0.0242,-0.005,7.747,0.016,65.9,16.54,5.445,0.013,82.3,76.74,1,0,0,AA,10,57431.18629575,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.836145,118.492647
67.8922704,18.1345913,0.0251,0.023,-0.0125,7.756,0.018,61.5,38.21,4.692,0.014,75.4,43.52,1,0,0,AA,10,57431.18642307,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.990977,111.011421
67.8921627,18.1345516,0.0224,0.0216,0.0035,7.824,0.015,71.6,14.96,5.047,0.015,70.8,17.29,1,0,0,AA,10,57431.25187507,6.81118101351029E+017,7.78,0.025,5.278,0.047,0.755,0.012,-2.434,0.002,930454605,13.708,0.0598,11.505,0.0524,9.822,0.0347,0.747046,131.83193
